Variable,Variable Description,Units,Method Name 1,Method Name 2,Trait Ontology Identifier (TO:ID),termId,TO label,Comments/Notes,CO_324 ID,CO_324 label,Comments/Notes,coPermalink
harvest_lodging_rating,Categorical rating of lodging severity at harvest. 0 = none; 1 = light to moderate lodging; 2 = severe lodging,categorical rating,"Visual assessment of lodging at harvest on scale of 0, 1, or 2.",,TO:0000068,http://purl.obolibrary.org/obo/TO_0000068,lodging incidence,exact,CO_324:0000283,sorghum plant lodging incidence trait,exact,https://www.cropontology.org/terms/CO_324:0000283/Plant%20lodging%20incidence/static-html?language=english
leaf_temperature,Temperature of the surface of a sunlit leaf.,K,temperature of sunlit leaf with [instrument name],,TO:0000504,http://purl.obolibrary.org/obo/TO_0000504,leaf temperature,exact,n/a,n/a,n/a,n/a
leaf_temperature_differential,Difference between the leaf temperature and the ambient air temperature,C,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0000504,http://purl.obolibrary.org/obo/TO_0000504,leaf temperature,subclass,n/a,n/a,n/a,n/a
leaf_thickness,Leaf thickness estimate,mm,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0000258,http://purl.obolibrary.org/obo/TO_0000258,leaf thickness,exact,n/a,n/a,n/a,n/a
canopy_cover,Fraction of ground covered by plant,%  ,Canopy cover estimation from ground-based conventional photographs,,TO:0000559,http://purl.obolibrary.org/obo/TO_0000559,plant volume,related,n/a,n/a,n/a,n/a
panicle_count,[missing],count,3D scanner to panicle count faster_rcnn + roughness threshold + convex hull,,TO:0000152,http://purl.obolibrary.org/obo/TO_0000152,panicle number,exact,n/a,n/a,n/a,n/a
panicle_volume,[missing],mm3,3D scanner to panicle count faster_rcnn + roughness threshold + convex hull,,TO:0006032,http://purl.obolibrary.org/obo/TO_0006032,panicle inflorescence size,related,n/a,n/a,n/a,n/a
panicle_surface_area,[missing],mm2,3D scanner to panicle count faster_rcnn + roughness threshold + convex hull,,TO:0006032,http://purl.obolibrary.org/obo/TO_0006032,panicle inflorescence size,related,n/a,n/a,n/a,n/a
stem_elongated_internodes_number,Number of elongated internodes on the main stem,[missing],Stem elongated internodes and basal tillers counts - visual repeat measures on marked plants,,TO:0000756,http://purl.obolibrary.org/obo/TO_0000756,stem internode morphology trait,subclass,CO_324:0000235,sorghum stem elongated internodes number trait,exact,https://www.cropontology.org/terms/CO_324:0000235/Stem%20elongated%20internodes%20number/static-html?language=english
stalk_diameter_fixed_height,Diameter of the stalk in the internodal area nearest to the given measurement height,mm,Stalk diameter measurement,,TO:0020083,http://purl.obolibrary.org/obo/TO_0020083,stem diameter,exact,n/a,n/a,n/a,n/a
stalk_diameter_minor_axis,"Diameter of the thinnest axis of the stalk in the internodal area below the most recent fully developed leaf, including the true stem and leaf sheath",mm,Stalk diameter measurement,,TO:0020083,http://purl.obolibrary.org/obo/TO_0020083,stem diameter,exact,n/a,n/a,n/a,n/a
